feature,popular_mean,unpopular_mean,difference,importance
days_since_modification,792.8249172185431,820.7335264900662,-27.90860927152312,0.3352610274583523
num_tags,9.92135761589404,3.7693129139072847,6.152044701986755,0.16182082309612394
has_transformers,0.6588327814569537,0.2080546357615894,0.4507781456953643,0.08131475203714922
has_endpoints_compatible,0.6419453642384106,0.21044701986754966,0.431498344370861,0.059542044145721264
num_languages,0.37797185430463576,0.032293046357615894,0.3456788079470199,0.029704781973526617
pipeline_tag_other,0.6293543046357616,0.9089238410596027,-0.2795695364238411,0.029088886632152814
has_autotrain_compatible,0.4279884105960265,0.12297185430463577,0.30501655629139074,0.024915130853926562
has_safetensors,0.29873344370860927,0.04581953642384106,0.2529139072847682,0.024582088751162703
org_name_length,9.158683774834437,9.032599337748344,0.1260844370860923,0.021745907571344286
license_type_unknown,0.3587086092715232,0.6801241721854304,-0.3214155629139072,0.01944667300162749
has_license,0.6456705298013246,0.3298427152317881,0.31582781456953646,0.018203765713882894
has_open_license,0.3804966887417219,0.1382450331125828,0.24225165562913908,0.012724733128518462
num_dataset_refs,0.3947599337748344,0.08564569536423841,0.30911423841059604,0.01197620094203125
has_gguf,0.0782864238410596,0.0010347682119205299,0.07725165562913908,0.011805623512704368
has_diffusers,0.09547185430463576,0.018468543046357616,0.07700331125827814,0.011756644506619071
has_english,0.20980132450331127,0.0214817880794702,0.18831953642384106,0.010779867168470967
has_arxiv_ref,0.16816225165562915,0.020008278145695363,0.14815397350993378,0.010539595990171926
has_dataset_ref,0.2359271523178808,0.05660596026490066,0.17932119205298014,0.009909892237518645
is_finetune,0.08174668874172185,0.06,0.02174668874172185,0.009749613603663481
has_text_generation,0.32163079470198674,0.0910430463576159,0.23058774834437085,0.009727570471071315
num_arxiv_refs,0.26039735099337746,0.02271523178807947,0.237682119205298,0.009528369403951752
num_base_models,0.46980132450331125,0.14496688741721855,0.3248344370860927,0.008751621096810585
has_base_model,0.2084023178807947,0.07248344370860928,0.1359188741721854,0.008326904198226378
has_apache_license,0.28024834437086094,0.07816225165562914,0.2020860927152318,0.007611571581893901
has_text_to_image,0.08172185430463576,0.028236754966887417,0.05348509933774834,0.00598173922404114
pipeline_tag_text-to-image,0.08130794701986754,0.028220198675496688,0.053087748344370855,0.005915068424945471
license_type_openrail,0.016630794701986754,0.10560430463576159,-0.08897350993377484,0.005285952628510107
license_type_apache-2.0,0.2790728476821192,0.07815397350993378,0.20091887417218543,0.0038862109915352395
is_quantized,0.06639900662251656,0.00024006622516556291,0.066158940397351,0.003775822051450427
has_mit_license,0.10051324503311258,0.06009105960264901,0.040422185430463574,0.0037751085111424098
license_type_mit,0.10050496688741722,0.06009105960264901,0.040413907284768215,0.003672682803899205
has_text_generation_inference,0.22504139072847681,0.0629635761589404,0.1620778145695364,0.0035639090212424484
pipeline_tag_text-generation,0.23934602649006623,0.056018211920529803,0.18332781456953642,0.003417739106207027
has_conversational,0.08894039735099338,0.0048923841059602645,0.08404801324503311,0.0025460478236139002
license_type_creativeml-openrail-m,0.05495033112582781,0.02642384105960265,0.028526490066225162,0.002241174041402389
is_adapter,0.04311258278145695,0.012243377483443708,0.030869205298013243,0.0022269183418654496
is_recent,0.023327814569536424,0.0006622516556291391,0.022665562913907283,0.002046930317223328
has_lora,0.03455298013245033,0.0023675496688741722,0.03218543046357616,0.001812018296840741
license_type_other,0.054312913907284766,0.014329470198675497,0.03998344370860927,0.001616906118768348
has_multilingual,0.011788079470198675,0.006887417218543046,0.004900662251655629,0.0014146754673312655
license_type_cc-by-nc-4.0,0.03687086092715232,0.002640728476821192,0.03423013245033113,0.0013433289150714665
has_feature_extraction,0.03664735099337749,0.006200331125827814,0.030447019867549673,0.0010533724471564895
has_sentence_transformers,0.016771523178807948,0.003774834437086093,0.012996688741721855,0.0009686300520617013
pipeline_tag_feature-extraction,0.03481788079470199,0.006183774834437086,0.028634105960264902,0.0007840617495459023
has_image_to_text,0.009950331125827815,0.00039735099337748344,0.009552980132450331,0.0006454603137368914
pipeline_tag_image-to-text,0.009544701986754967,0.00039735099337748344,0.009147350993377483,0.0006284674010524092
has_custom_code,0.027251655629139074,0.004652317880794702,0.02259933774834437,0.0006283435123167901
license_type_llama2,0.02392384105960265,0.005364238410596026,0.018559602649006624,0.0006084243426404388
license_type_cc-by-4.0,0.013882450331125827,0.003915562913907285,0.009966887417218542,0.00042553746205598145
license_type_openrail++,0.011978476821192054,0.0010347682119205299,0.010943708609271524,0.0003803614184115244
is_very_recent,0.005405629139072847,4.966887417218543e-05,0.005355960264900662,0.0001771065100993811
has_image_to_image,0.0035678807947019868,7.450331125827815e-05,0.0034933774834437084,0.00010340473949793564
pipeline_tag_image-to-image,0.0028559602649006624,7.450331125827815e-05,0.002781456953642384,8.438439228370729e-05
has_text_to_video,0.0011341059602649006,7.450331125827815e-05,0.0010596026490066225,6.409157207237422e-05
pipeline_tag_text-to-video,0.0010264900662251657,7.450331125827815e-05,0.0009519867549668876,5.544168315990244e-05
has_ocr,0.0015397350993377483,1.6556291390728477e-05,0.0015231788079470199,2.887896677838851e-05
pipeline_tag_sentence-similarity,0.0017466887417218542,0.0001076158940397351,0.001639072847682119,2.6688524452625438e-05
has_region_us,0.9997682119205298,1.0,-0.00023178807947021873,1.0237509648815369e-06
is_from_org,1.0,1.0,0.0,0.0
